"name","description","publication_date","sallary","region_name","employer","skills","work_experience","work_schedule"
аналитик данных (коммерческий блок),"аналитик данных (коммерческий блок). что нужно делать:  измерять эффективность продвижения и продаж. собирать, обрабатывать, анализировать данные. делать и проверять гипотезы, выводы, прогнозы. участвовать в подготовке планов продаж. проводить аналитику бизнес-метрик коммерческого блока. выступать заказчиком (product owner) bi-отчётов. развивать it-системы аналитики.  мы ожидаем:  аналитический склад ума.. навык анализа большого массива данных. умение и желание технологизировать и автоматизировать процессы. высокий уровень самоорганизации, самостоятельность. продвинутый уровень sql. продвинутый пользователь bi (в идеале power bi со знанием dax и m). продвинутый пользователь excel (power query). знание основ uiux для построения дашбордов. опыт работы с инструментами atlassian (jira, confluence). опыт в data science – преимущество.  мы предлагаем:  доход выше рынка и прозрачная система мотивации; лучшие проекты и продукты в отрасли; работа с умными, порядочными профессионалами; системная технологичная компания; право на эксперименты и ошибки; комфортный офис с видом на кремль. ",2023-12-26,28906,москва,sminex-интеко,microsoft sql server;microsoft power bi;python;sql;анализ данных,"0",полный день
финансовый аналитик (power bi),"работодатель: ао &quot;рткомм.ру&quot; (услуги спутниковой связи)     функционал:    доработка и ведение текущих отчетов в microsoft power bi, работа с пользователями отчетов, создание новых отчетов в power bi (выяснение требований, подготовка прототипов), анализ маржинальности проектов и сегментов бизнеса, участие в процессе распределения затрат между филиалами, участие в процессах автоматизации управленческой отчетности. анализ баланса компании на ежеквартальной основе; анализ фактической управленческой отчетности; составление руководству аналитических отчетов по запросу; участие в процессе доработки имеющихся управленческих отчетов для целей бизнеса.  навыки и опыт:  высшее финансовое / экономическое образование; опыт работы в области финансового анализа, менеджмента – от 2х лет; продвинутый пользователь microsoft power bi (включая язык dax); продвинутый пользователь excel (сложные формулы, сводные таблицы); знание 1с: бухгалтерия или 1с: упп; сильные аналитические навыки; ориентация на результат; хорошие навыки коммуникации.  мы предлагаем:  офис в шаговой доступности от м. румянцево, бизнес-центр «comcity»; белая заработная плата; оформление в соответствии с тк рф; режим работы: 8:30 - 17:30ч (пн.- пят.); возможность профессионального и карьерного роста.  уважаемые кандидаты! если в вашем резюме не указан ожидаемый уровень дохода, просьба, указать его в сопроводительном письме.",2023-12-12,28906,москва,ростелеком,"","3-6",полный день
бизнес-аналитик bi,"тинькофф — data-driven-компания: при принятии решений сотрудники ориентируются в первую очередь на данные. поэтому у нас есть data platform — центр сосредоточения данных, где можно посмотреть любые их срезы и построить аналитику.наша платформа данных — это более 250 разных источников, 8000 процессов загрузки и обработки данных ежедневно и 16 000 уникальных пользователей. чтобы работать с такими объемами данных, мы используем apache zeppelin, sap bo, tableau и продукты собственной разработки.сейчас мы ищем bi-аналитика. обязанности:  собирать бизнес-требования внутренних заказчиков искать данные, которые отвечают на вопросы, поставленные заказчиком формировать целевой прототип отчета визуализировать отчеты и дашборды  требования:  у вас есть опыт работы аналитиком от 2 лет свободно владеете sql умеете собирать требования с бизнеса и переводить их на язык отчетов работали с инструментами визуализации: tableau, apache superset, powerbi и другими  мы предлагаем:  работу в офисе или удаленно — по договоренности платформу обучения и развития «тинькофф апгрейд». курсы, тренинги, вебинары и базы знаний. поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии заботу о здоровье. оформим полис дмс со стоматологией и страховку от несчастных случаев. предложим льготное страхование вашим близким возможность работать в аккредитованной ит-компании линейку льготных тарифов на продукты тинькофф частичную компенсацию затрат на спорт well-being-программу, которая помогает улучшить психологическое и физическое здоровье, а также разобраться с юридическими и финансовыми вопросами три дополнительных дня отпуска в год достойную зарплату — обсудим ее на собеседовании ",2023-12-04,28906,нижегородская область,тинькофф,"","1-3",гибкий график
middle/senior machine learning engineer in uzum tezkor,"uzum — это новая уникальная компания в узбекистане, которая развивает экосистему цифровых сервисов для бизнеса, онлайн-шопинга, удобных платежей и других решений для жизни.uzum tezkor – это сервис быстрой доставки из кафе, ресторанов и магазинов в рамках экосистемы uzum. проект запущен совсем недавно и находится на стадии активного роста и развития. у нас очень сильная и амбициозная команда, которая ставит перед собой задачу – построить лучший food tech сервис в средней азии. наш основной фокус – это обеспечение высокого уровня сервиса для наших конечных пользователей, за счет использование передовых технических решений, внедрения наукоемких алгоритмов и построения эффективных операционных процессов. присоединяйся к команде, вы получаете возможность внести свой вклад в развитие нового динамичного проекта и получить ценный опыт работы в сильной food tech команде. сейчас мы ищем опытного специалиста, который станет первым инженером машинного обучения в направлении операций. данному человеку предстоит полностью лидировать со стороны data функции всё прогнозирование/оптимизацию в области логистики и баланса спроса и предложения компании uzum tezkor. обязанности:   предсказывать число заказов и количество смен для курьеров в разрезе лог. зона (часть города) + час;   строить модели управления балансом объема поступающих заказов и курьеров “на линии”, такие как:   изменение зон доставки;   изменение минимального чека и стоимости доставки;   surge pricing;     предсказывать время доставки заказа на разных этапах (при заходе в приложение, при создании, после назначения курьера, после готовности заказа);   на более поздних этапах, когда будет целесообразно идти дальше бейзлайнов:   оптимизировать диспатчинг (алгоритм назначения курьеров на заказы);   оптимизировать автоматические реакции (блокировки курьеров/ресторанов);     требования:   от 3 лет в роли ml engineer/data scientist;   опыт программирования на python, знание основных библиотек для анализа данных и структур данных;   продвинутый уровень владения sql, понимание принципов de;   умение собрать написанный код в контейнер, базовое понимание принципов развёртывания веб-сервисов в проде;   опыт работы с решениями clickhouse, airflow, s3, trino или с их аналогами;   условия:  сильная техническая команда, которая всегда готова делиться опытом; крутая продуктовая культура. опираемся на исследования и метрики, фокусируемся на результате; свобода действий и возможность напрямую влиять на развитие бизнеса; гибкий график; предпочтительный формат работы - офис в ташкенте, но есть возможность удаленной работы (с обязательными оплачиваемыми командировками в ташкент раз в полгода для встречи с командой); официальное оформление по тк уз; три дополнительных оплачиваемых дня к отпуску; мы резидент it-парка, наши специалисты могут получить it-визу, которая приравнивается к внж; развитие личного бренда на конференциях, митапах и внутренних событиях. быстрый найм и отсутствие тестовых заданий “на дом” macbook pro или другой ноутбук на ваш выбор   ",2024-01-03,28906,санкт-петербург,«uzum technologies».,"","3-6",полный день
data analyst in operations,"uzum — это новая уникальная компания в узбекистане, которая развивает экосистему цифровых сервисов для бизнеса, онлайн-шопинга, удобных платежей и других решений для жизни.uzum tezkor – это сервис быстрой доставки из кафе, ресторанов и магазинов в рамках экосистемы uzum. проект запущен совсем недавно и находится на стадии активного роста и развития. у нас очень сильная и амбициозная команда, которая ставит перед собой задачу – построить лучший food tech сервис в средней азии. наш основной фокус – это обеспечение высокого уровня сервиса для наших конечных пользователей, за счет использование передовых технических решений, внедрения наукоемких алгоритмов и построения эффективных операционных процессов. присоединяйся к команде, вы получаете возможность внести свой вклад в развитие нового динамичного проекта и получить ценный опыт работы в сильной food tech команде. мы ищем аналитика с потенциалом роста, которому интересна область применения алгоритмов машинного обучения и ab тестов в операционном домене. обязанности:   делать продуктовые и бизнес исследования в операционном направлении;   лидировать с аналитической стороны такие проекты, как авто-назначение (заказов на курьеров), авто-реакции (блокировки ресторанов и курьеров), управление минимальной корзиной и стоимостью доставки;   создавать сущности в бд (совместно с дата инженером), которые далее отражать на дешбордах;   с 2024q1 (при желании и после выполнения более насущных задач) участвовать в проведении ab-тестов в операционном направлении;   требования:   предыдущий опыт работы в роли data analyst in operations;   опыт написания скриптов на python, знание основных библиотек для анализа данных (читай, pandas);   продвинутый уровень владения sql;   условия:  сильная техническая команда, которая всегда готова делиться опытом; крутая продуктовая культура. опираемся на исследования и метрики, фокусируемся на результате; свобода действий и возможность напрямую влиять на развитие бизнеса; гибкий график; предпочтительный формат работы - офис в ташкенте, но есть возможность удаленной работы (с обязательными оплачиваемыми командировками в ташкент раз в полгода для встречи с командой); официальное оформление по тк уз; три дополнительных оплачиваемых дня к отпуску; мы резидент it-парка, наши специалисты могут получить it-визу, которая приравнивается к внж; развитие личного бренда на конференциях, митапах и внутренних событиях. быстрый процесс найма, отсутствие тестовых заданий &quot;на дом&quot; macbook pro или другой ноутбук на ваш выбор ",2024-01-03,28906,нижегородская область,«uzum technologies».,"","3-6",полный день
финансовый аналитик (power bi),"работодатель: ао &quot;рткомм.ру&quot; (услуги спутниковой связи)     функционал:    доработка и ведение текущих отчетов в microsoft power bi, работа с пользователями отчетов, создание новых отчетов в power bi (выяснение требований, подготовка прототипов), анализ маржинальности проектов и сегментов бизнеса, участие в процессе распределения затрат между филиалами, участие в процессах автоматизации управленческой отчетности. анализ баланса компании на ежеквартальной основе; анализ фактической управленческой отчетности; составление руководству аналитических отчетов по запросу; участие в процессе доработки имеющихся управленческих отчетов для целей бизнеса.  навыки и опыт:  высшее финансовое / экономическое образование; опыт работы в области финансового анализа, менеджмента – от 2х лет; продвинутый пользователь microsoft power bi (включая язык dax); продвинутый пользователь excel (сложные формулы, сводные таблицы); знание 1с: бухгалтерия или 1с: упп; сильные аналитические навыки; ориентация на результат; хорошие навыки коммуникации.  мы предлагаем:  офис в шаговой доступности от м. румянцево, бизнес-центр «comcity»; белая заработная плата; оформление в соответствии с тк рф; режим работы: 8:30 - 17:30ч (пн.- пят.); возможность профессионального и карьерного роста.  уважаемые кандидаты! если в вашем резюме не указан ожидаемый уровень дохода, просьба, указать его в сопроводительном письме.",2023-11-27,28906,москва,ростелеком,"","3-6",полный день
аналитик данных,"умскул — крупнейшая в россии онлайн-школа подготовки к егэ и огэ. мы активно развиваем доступное онлайн-образование и создаем экосистему для формирования успешного будущего наших учеников. за 7 лет работы мы выпустили более 100 000 учеников, среди которых 2100 учеников сдали егэ на 100 баллов. мы создаем образовательную экосистему, которая позволяет ученикам достигать своих целей и поступать в лучшие вузы россии. в основе — онлайн-вебинары, домашняя работа, рабочие тетради, конспекты, кураторы, которые помогают и отвечают на вопросы по пройденному материалу и домашнему заданию в течение 5 минут ежедневно, а также команда психологов. в дополнение к нашим образовательным программам, мы разработали рекомендательную систему на базе искусственного интеллекта, которая помогает ученикам выявлять пробелы в знаниях и строить персонализированную образовательную программу. наша миссия - создавать современное образование и помогать ученикам прийти в будущее, о котором они мечтают. мы ценим свое дело, искренне любим наших учеников и заботимся о них, становимся для них друзьями, готовыми всегда прийти на помощь. в нашей команде мы хотим видеть единомышленников, которые разделят с нами наши ценности. сейчас мы формируем команду аналитики и находимся в поисках аналитиков данных на 3 направления: коммерческая аналитика (продажи), образовательная аналитика и операционная аналитика. роль аналитика данных будет включать разработку/поддержку и оптимизации отчетов. ты будешь заниматься развитием систем отчетности, своевременным обеспечением пользователей качественными данными, что позволяет принять правильные бизнес-решения по улучшению эффективности работы коммерческих горизонталей. чем предстоит заниматься:  аналитика ключевых метрик компании взаимодействие с внутренними заказчиками для сбора требований к аналитическим отчетам разработка и поддержка аналитических отчетов (от сбора данных до визуализации) участие в создании, поддержке и развитии bi-решений компании обучать пользователей и развивать культуру работы с данными для поиска инсайтов ad-hoc запросы коммуникация с горизонталями коммерческого трека (оп, маркетинг, продуктовые команды)  мы ожидаем:    опыт работы аналитиком от 2-х лет уверенный уровень sql (аггрегирующие и оконные функции, ‘join’ разные виды, with) опыт работы с bi-инструментами знаете основы статистики навыки программирования на python  плюсом будет:  знание/опыт работы с коммерческими/маркетинговыми метриками опыт работы в ed-tech  что мы предлагаем:  работа в компании с социально-значимыми продуктами оформление в штат (тк рф)  наличие аккредитации ит-компании  возможность полностью удаленной работы (или по желанию в одном из наших офисов в г. москва или г. казань)  дмс со стоматологией после испытательного срока  скидки и бонусы от наших партнеров корпоративные скидки на наши курсы для сотрудников и их родственников ",2023-12-12,28906,москва,умскул,анализ данных;python;sql;tableau,"1-3",удаленная работа
data/system analyst (отчетность китая),"мы интернациональная команда, занимающаяся адаптацией, локализацией и созданием новых сервисов экосистемы для дочерних банков экосистемы сбер. проект: автоматизация сбора данных с китайского филиала чем предстоит заниматься:    работать в команде по работе с данными в качестве data/системного аналитика сбором и написанием бизнес-требований на витрины данных, отчетность, дашборды; декомпозицией требований до уровня требований и задач, необходимых (понятных) для разработчика; согласованием требований с заказчиком и командой по данным проработкой структур данных для реализации в хранилище в тесном взаимодействии с разработчиками контролем поставленных задач и сроков на соответствие требованиям проектированием интеграционных решений между системами, постановкой задач на интеграцию смежным системам помогать тестировщикам в разработке сценариев тестирования, дата стюарту при анализе нестандартных дефектов и ведения корпоративной модели данных ведением документации на портале confluence настройкой и ведением производственного процесса в jira  мы ожидаем:    опыт написания и согласования технической документации (фт, тз, fsd, s2t, маппинг данных, методик тестирования, схемы процессов, интеграционных взаимодействий, итд) знание принципов/архитектурных подходов проектирования хранилищ данных знание основ моделирования бизнес-процессов bpmn знание основ тестирования sql на уровне написания простых запросов (select, group, having, join) в одной из субд - mssql / postgresql / oracle знание jira workflow интерес к работе с данными понимание методологии agile владение английским языком на разговорном уровне открытость к общению с командой и заказчиками, коммуникабельный, командный игрок  будет плюсом:  опыт работы с технологиями интеграции систем rest, mq, soap опыт работы с большими данными, знание hadoop, hive, teradata, apache spark опыт работы с etl инструментами понимание принципов построения data quality владение китайским языком  мы предлагаем:    работа в команде профессионалов, возможность разрабатывать уникальные и крупные проекты масштаба нашей страны можно работать в офисе или в смешанном графике конференции и обучение на корпоративных или вендорских курсах за наш счёт отличная дмс, включая несчастные случаи и тяжелые заболевания льготные условия по ипотеке и кредитам материальная помощь и социальная поддержка корпоративная пенсионная программа офис в бизнес-центре поклонка (м. кутузовская) ",2023-12-12,28906,москва,сбер,bpmn;oracle database;postgresql,"1-3",полный день
bi/data-аналитик,"1221systems – аккредитованная it-компания, специализирующаяся на разработке it-решений для бизнеса розничной и оптовой торговли. наша компания выполняет разработку it-продуктов группы компании &quot;сладкая жизнь&quot; – одного из крупнейших дистрибьюторов продуктов питания в россии. на данный момент находимся в поиске bi/data-аналитика на проект по разработке системы лояльности с составом команды около 30 человек. на проекте отсутствует legacy, проектируем решение с нуля. чем предстоит заниматься? в рамках проекта программы лояльности мы проектируем bi-платформу, которая будет подключаться к нескольким источникам данных разных заказчиков и формировать сложные отчёты по десяткам показателей. наш bi – это не только настройка визуализации отчётности, но и построение olap-кубов, анализ данных в имеющихся источниках данных (в том числе, проектирование новых dwh, маппинг данных из имеющихся источников данных в новую платформу и организация всего процесса etl). проект будет поддержан со стороны интегратора с последующей передачей проекта нам на самостоятельную поддержку. какие задачи будут в работе:  с нуля организовать разработку bi-модуля программы лояльности: от построения требований и коммуникации с заказчиками до контроля сроков интегратора; провести анализ данных в имеющихся источниках, совместно с интегратором определить архитектуру нового решения; непосредственно заниматься маппингом данных, поддержкой актуальности маппинг-таблиц и необходимых скриптов; настраивать дашборды и отчёты для пользователей; обучение и взаимодейтсвие с пользователями.  что потребуется для решения задач:  уверенное знание python и sql; уверенное знание excel на уровне, достаточном для построения сложных отчётов и сводных таблиц и olap-кубов; опыт работы с postgersql, clickhouse; умение строить etl-пайплайны; владение методами статистического анализа; опыт работы в качестве data- или bi-аналитика или bi-инженера.  будет преимуществом:  опыт работы с отчётами для маркетинга, закупок; опыт работы с apache superset / power bi / tableau / qlik / datalens.  мы предлагаем:  оформление по тк, полностью белая конкурентная зарплата; программа кафетерия льгот после испытательного срока (дмс, компенсация затрат на изучение английского языка, занятия спортом, путешествия для себя и семьи, оборудование для удалённого рабочего места); 4 дополнительных оплачиваемых day off для лечения в течение года; программа адаптации, обучения, разработка индивидуального плана развития; посещение за счёт компании топовых профильных конференций; комплект необходимого для работы оборудования; удалённый режим работы, гибкое начало рабочего дня; для нижегородцев классный офис в центре города с террасой и видом на кремль; демократичные отношения с руководством, все идеи обсуждаются с участием команды; офлайн и онлайн корпоративы, подарки для сотрудников и их детей. ",2023-12-18,28906,новосибирская область,"1221системс","","3-6",удаленная работа
data аnalyst (middle/middle+),"цифровые привычки – аккредитованная it-компания, резидент сколково, топ-5 подрядчиков сбера. мы предоставляем услуги it-консалтинга, заказной разработки, аутсорсинга it-процессов и развиваем собственные продукты и проекты партнеров. наша команда — это сплоченный коллектив высококвалифицированных профессионалов, способных эффективно решать самые сложные задачи. нас более 250 человек, распределенных по разным проектам и городам. люди — самый ценный актив. наша команда экспертов объединена общими идеями, ценностями и миссией. мы делаем свою работу лучше каждый день благодаря общим принципам, которые нами движут. мы заботимся о благополучии специалистов: создаем комфортные условия труда, ставим амбициозные задачи и даем возможность поменять проект, если он по каким-то причинам перестал устраивать. количество наших проектов растет, как растет и наша команда. сейчас мы в поиске data analyst на проект сбера обязанности:  выявление, фиксация, согласование бизнес и функциональных требований. декомпозиция и анализ задач бэклога. разработка и развитие логической модели данных в области инвестиций и финансирования для последующей реализации в системах банка. определение источников данных в банке, содержащих достоверную информацию. коммуникация с владельцами источников по выгрузке необходимой информации. выявление и обозначение рисков, требований к контролю качества данных. документирование разрабатываемых компонентов по. работа со смежными командами: проработка интеграции, совместный запуск процессов. поиск данных в контуре банка, профилирование и системный анализ данных источника, формирование требований на загрузку данных в хранилище, построение витрин данных, тестирование и проверка витрин.  требования:  высшее образование (желательно техническое). опыт проектирования бд и построение модели данных. опыт работы на позициях старший бизнес-аналитик, аналитик, технолог от 3х лет в проектах разработки и/или внедрения информационных систем. опыт работы проектирования данных транзакционных или аналитических систем. знание методологий функционального, информационного и процессного моделирования в нотациях bpmn, uml. понимание теории реляционных баз данных, нормальных форм. знание sql в части написания запросов, скриптов. опыт работы на любом скриптовом языке программирования. аналитическое мышление и умение систематизировать информацию. хорошая техническая эрудиция, коммуникационные навыки. умение грамотно задавать вопросы, делать выводы, четко излагать свои мысли в письменной/устной форме. умение отстаивать свою точку зрения.  будет плюсом:   понимание кредитных процессов и продуктов. опыт работы в сбере, понимание внутренних процессов. участие в крупных проектах с распределённой инфраструктурой. понимание agile-методологий. опыт работы в режиме многозадачности и высокой нагрузки.  в ответ мы предлагаем:   достойную заработную плату.   трудоустройство по тк, ип, гпх, сз.   формат работы: офис в москве.   реальный рост внутри компании, регулярный пересмотр зарплаты по результатам работы.   обучение в образовательном центре headbridge на базе компании.   возможность изучения английского языка.   доход обсуждаем с каждым кандидатом индивидуально (все зависит от вашего уровня знаний).   дмс через 6 месяцев работы.  ",2023-12-13,28906,москва,цифровые привычки,работа с диаграммами;bpmn;sql;uml;microsoft visio;аналитическое мышление;управление базами данных;организация и управление бизнес-процессами,"3-6",полный день
senior data analyst,"as a data analyst at our fintech company, you will play a pivotal role in leveraging data to generate insights, support decision-making, and drive business growth. you will work with large datasets, analyze financial data, and collaborate with cross-functional teams to enhance our products and services. key responsibilities: 1.data collection and processing: • gather and preprocess data from various sources, including transaction records, apis, and databases. • ensure data accuracy, completeness, and integrity. 2. data analysis: • conduct exploratory data analysis to identify trends, patterns, and anomalies. • utilize statistical and data analysis techniques to extract actionable insights. 3.financial performance analysis: • analyze financial metrics, such as revenue, profitability, and customer acquisition costs. • identify opportunities for revenue growth and cost optimization. 4. customer insights: • analyze customer behavior, segmentations, and preferences. • provide insights to improve customer experiences and engagement. 5.risk management: • assist in assessing financial risks and fraud detection. • develop models and tools to monitor and mitigate risks associated with financial transactions. 6.reporting and visualization: • create reports, dashboards, and visualizations to present data findings to stakeholders. • communicate insights effectively to non-technical teams. 7. data quality and governance: • establish and maintain data quality standards and governance processes. • ensure compliance with data protection regulations and security standards. 8. collaboration: • collaborate with cross-functional teams, including product managers, engineers, and compliance teams. • provide data-driven insights to support product development and compliance efforts. qualifications: • bachelor&#39;s degree in a quantitative field, such as mathematics, statistics, economics, or computer science (a master&#39;s degree is a plus). • proven experience as a data analyst, preferably in the fintech or financial services industry. • proficiency in data analysis tools and programming languages (e.g., python, r, sql). • strong analytical and problem-solving skills. • experience with data visualization tools (e.g., tableau, power bi). • knowledge of financial concepts and products. • excellent communication and presentation skills. • detail-oriented and committed to data accuracy and integrity. what we offer: interesting and challenging work in international fintech. great opportunities for growth and development. official employment and competitive salary. a young, professionally strong team and adequate leadership. comfortable office in moscow city (with the possibility of remote work). business trips to southeast asia and other regions. free english lessons. ability to surprise the world!",2023-12-07,28906,москва,ок софт,"","3-6",удаленная работа
