Название вакансии,Описание вакансии,Дата публикации,Заработная плата,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Инженер данных / Data Engineer,"Ventra Go! - сервис для быстрого заказа временного линейного персонала в сфере ритейла, e-comm, логистики и FMCG по uber-модели. Ежедневно десятки тысяч пользователей выходят на работу с помощью нашего приложения. Платформа позволила изменить пользовательский опыт как для линейного персонала, который получил возможность выводить заработанные средства ежедневно, так и для заказчиков, получающих услугу &quot;под ключ&quot; через мобильное приложение. Мы не e-commerce и не поставщик commodity-сервисов. Мы выросли в 3 раза за 2023 год, а на 2024 у нас ещё более амбициозные планы. У нас есть множество задач, которые не решил еще ни один сервис в мире. Наш продукт - многоуровневый и сложный, а также имеет большую социальную значимость. Мы помогаем находить работу и подработку без серых выплат и теневых схем, а также даем возможность найти дополнительный заработок людям из регионов и небольших городов. И сейчас мы в поиске Инженера данных, который будет отвечать за инфраструктуру данных в нашей команде. Основные задачи:   Сборка витрин из сырых данных;   Разработка и оптимизация пайплайнов сборки данных;   Оптимизация существующих процессов обработки и преобразования данных;   Моделирование БД;   Создание дашбордов в BI системе;   Работа с различными источниками данных: SQL, API внешних систем, микросервисы;   Разработка продвинутых процедур обработки данных, например с использованием геопространственных библиотек или ML;   Внедрять новые инструменты DataOps и MLOps.   Мы ожидаем, что вы:  Уверенно владеете Python и SQL; Работали с AirFlow; Имеете опыт визуализации данных с BI инструментами Superset, Tableu и т.п.; Готовы погружаться в предметную область при подготовке витрин данных.  Будет плюсом:  Опыт работы со Spark; Опыт работы с Kafka; Опыт построения сервисов с использованием FastAPI; Опыт построения сервисов с Panel/Streamlit/Dash/etc; Понимание и интерес к data science решениям и ML; Опыт работы с любыми MPP СУБД - Greenplum, Clickhouse.  Мы предлагаем:   Достойную заработную плату и прозрачную систему мотивации;   Официальное оформление по ТК РФ;   Социальные программы (ДМС, оплата больничного, программы мат. помощи, обучения и др.);   Дополнительные оплачиваемые выходные дни;   Возможность выбирать удобный формат и график работы (мы &quot;ок&quot; с удалёнкой, а также имеем комфортный офис);  Энергичную и дружелюбную команду профессионалов; Развитие в новом продукте, который качественно меняет рынок занятости; Гибкость во всем, кроме ориентации на результат.  Мы верим, что вместе добьемся успеха!  ",2023-11-30 00:00:00 +0700 +07,0,Москва,Ventra,Apache Airflow;API;Apache Kafka;Машинное обучение;PostgreSQL;Python;SQL;Управление базами данных,1-3,Полный день
Руководитель направления развития сегмента PA,"МТС Банк – цифровой банк экосистемы МТС. Мы задаем тренды банковской цифровой трансформации и развиваем финансовые сервисы нового поколения. Вам предстоит:  Разработка стратегии работы с pre-approve базами и ее поддержка/актуализация; Сегментация клиентов для достижения требуемых показателей продаж кредитных продуктов по склонности взятию того или иного продукта, по LTV, по вероятности интереса к фин. услугам; Построение процесса работы с сегментом pre-approve от момента поиска сегмента до момента прохождения клиентом продуктового пути в точке касания клиента с банком; Кросс-функциональное взаимодействие с продуктовыми и x-sell командами, с кампейном и рисками; Управление продуктовым жизненным циклом клиента; Актуализация контактной политики для сегмента pre-approve; Поиск и внедрение новых инструментов и подходов в работе с предодобренными предложениями;  Мы ожидаем:  Высшее профессиональное образование; Опыт работы в банках, телекоме от 3-х лет по направлению CRM/CVM/Portfolio; Опыт управления проектами будет преимуществом; Знание принципов сегментации, управление жизненным циклом клиента, участие в кросс-функциональных проектах; Уверенное знание Excel, PowerPoint (или их аналогов), знание инструментов построения моделей/анализа данных; Внимательность, логическое мышление, ответственность, высокая скорость погружения в задачу, самостоятельность.  Ваши преимущества​​​​​​: У нас ваши идеи не потеряются: предлагайте и обсуждайте, ищите новые решения и экспериментируйте. Мы всегда поддержим вас, а ещё предложим:  достойную заработную плату ДМС со стоматологией с первого дня работы доступ к корпоративной библиотеке и университету специальный тариф на мобильную связь скидки и бонусы от МТС, МТС Банка и наших партнёров отсутствие дресс-кода современный и уютный офис в 2-х минутах от м. Технопарк кафе «Мечта» с полезными завтраками и вкусными обедами корпоративный спорт: йога, беговое и волейбольное сообщества тренажерный зал в офисе программу материальной помощи в различных жизненных ситуациях поддержку сотрудников: программа материальной помощи в различных жизненных ситуациях ",2023-12-04 00:00:00 +0700 +07,0,Москва,МТС Финтех,Microsoft PowerPoint;Oracle Database;Microsoft Power BI;SQL;Разработка BI;Анализ данных;Системное и интегративное мышление,3-6,Полный день
BI developer,"Finstar Financial Group – – крупный международный холдинг, включающий в себя компании по всему миру. Наша команда (DFI - Digital Finance International) фокусируется на проектах в Юго-Восточной Азии, Индии и Мексики. Основной бизнес – digital кредитование через mobile app и website. За счет автоматизации и аналитического подхода нам удается быть в ТОП-3 во всех странах присутствия и достигать высоких бизнес-показателей. В связи с динамичным развитием мы ищем в команду нового BI developer с релокацией во Вьетнам. Чем предстоит заниматься:  Взаимодействия с бизнес-заказчиками по вопросам отчетности, анализ требований; Разработка витрин данных, участие в проектировании и развитии архитектуры DWH; Разработка отчетности в Power BI; Автоматизация бизнес-процессов; Написание различной сложности SQL скриптов, оптимизация SQL скриптов; Возможно использование Python в целях автоматизации и организации ETL процессов.  Что мы ожидаем:  Математическое/техническое высшее образование; Опыт работы с Power BI или иным BI инструментом; Понимание, чем отличается оптимальный SQL запрос от неоптимального и опыт разработки сложных SQL скриптов, процедур; Английский язык от B1 и выше; Готовность к релокации в г. Хошимин, Вьетнам.  Мы предлагаем:  Прозрачную систему мотивации (оклад + ежегодные бонусы); Отсутствие бюрократии, высокая степень свободы. Решения принимаются очень быстро; Полный релокационный пакет (визы, билеты и страховки для сотрудника и семьи, оплата отеля, оформление всех документов на стороне компании) - релокация во Вьетнам; Бесплатные обучения; Тимбилдинги в странах Азии (мы уже были на Филиппинах, Фукуоке, Бали, а следующий тимбилдинг планируем на Пхукете). ",2023-12-04 00:00:00 +0700 +07,0,Москва,Finstar Financial Group,Анализ данных;Microsoft SQL Server;PostgreSQL;SQL;Знание английского языка;Управление базами данных,1-3,Полный день
Data Analyst (Вьетнам),"Finstar Financial Group – – крупный международный холдинг, включающий в себя компании по всему миру. Наша команда (DFI - Digital Finance International) фокусируется на проектах в Юго-Восточной Азии, Индии и Мексики. Основной бизнес – digital кредитование через mobile app и website. За счет автоматизации и аналитического подхода нам удается быть в ТОП-3 во всех странах присутствия и достигать высоких бизнес-показателей. В связи с динамичным развитием мы ищем в команду нового Data Analyst (уклон BI) с релокацией во Вьетнам. Чем предстоит заниматься:  Взаимодействия с бизнес-заказчиками по вопросам отчетности, анализ требований; Разработка витрин данных, участие в проектировании и развитии архитектуры DWH; Разработка отчетности в Power BI; Автоматизация бизнес-процессов; Написание различной сложности SQL скриптов, оптимизация SQL скриптов; Возможно использование Python в целях автоматизации и организации ETL процессов.  Что мы ожидаем:  Высшее образование; Опыт работы с Power BI или иным BI инструментом; Понимание, чем отличается оптимальный SQL запрос от неоптимального и опыт разработки сложных SQL скриптов, процедур; Английский язык от B1 и выше; Готовность к релокации в г. Хошимин, Вьетнам.  Мы предлагаем:  Прозрачную систему мотивации (оклад + ежегодные бонусы); Отсутствие бюрократии, высокая степень свободы. Решения принимаются очень быстро; Полный релокационный пакет (визы, билеты и страховки для сотрудника и семьи, оплата отеля, оформление всех документов на стороне компании) - релокация во Вьетнам; Бесплатные обучения; Тимбилдинги в странах Азии (мы уже были на Филиппинах, Фукуоке, Бали, а следующий тимбилдинг планируем на Пхукете).   ",2023-12-04 00:00:00 +0700 +07,0,Москва,Finstar Financial Group,Microsoft SQL Server;Microsoft Power BI;Python;SQL;Анализ данных,1-3,Полный день
Аналитик данных BI / Разработчик BI,"Мы Первый Бит - международный ИТ-интегратор. У нас 100 офисов в 9 странах мира, 6,5 тысяч сотрудников. Мы постоянно растём и развиваем новые направления. В Проектном офисе в Москве создаём Центр компетенций по направлению BI и RPA (ЦК). КТО МЫ И КОГО ИЩЕМ Центр компетенций продаёт и внедряет продукты российского вендора РIX Robotics:  PIX BI. Business Intelligence (или BI) – системы, которые автоматически собирают информацию из разных источников, соединяют в целостную картину в удобном формате и дают возможность строить отчётность, быстро и удобно анализируя большие объёмы данных. PIX RPA. RPA (Robotic Process Automation) – это технология автоматизации бизнес‑процессов при помощи программных роботов. RPA-робот –это компьютерная программа, выполняющая определённые действия так, как их выполнял бы за компьютером человек. PIX Process Management: PIX Процессы. PIX Процессы – единая платформа для организации процессного управления.  МЫ ИЩЕМ АМБИЦИОЗНЫХ КАНДИДАТОВ, ЖЕЛАЮЩИХ СТАТЬ ВОСТРЕБОВАННЫМИ ЭКСПЕРТАМИ В БЫСТРО РАСТУЩЕМ СЕГМЕНТЕ ИТ. Обязанности:  Разработка аналитических отчетов в BI-инструментов; Сбор и анализ требований заказчика к целевой системе BI-дашбордов; Анализ существующих и определение целевых метрик/показателей, необходимых для разработки системы отчетов; Прототипирование дашбордов, согласование прототипов с Заказчиком; Оформление методологии расчета показателей (при запросе от заказчика); Анализ качества данных, проверка чистоты, обогащение; Формирование SQL-запросов по извлечению и преобразованию данных из разнородных источников; Постановка требований к интеграции данных из различных информационных систем и хранилищ данных; Разработка моделей BI-дашбордов; Тестирование и поддержка моделей визуализации, управление изменениями; Формирование аналитических записок по проделанной работе.  Требования:  Глубокий уровень владения BI-инструментами, быть готовым показать дашборды, которые разработал; Знание SQL, навыки оптимизации запросов, опыт обработки больших массивов данных; Знание и умение применять количественные и качественные метрики для оценки бизнеса/ продуктов; Умение работать с базами данных и неструктурированной информацией, разрабатывать и проверять гипотезы с помощью BI-инструментов; Ориентация на результат, проактивный подход, аккуратность и внимание к деталям.  Условия:  Условия для работы: гибридный формат работы; График: полный рабочий день (5/2), с 9:00 до 18:00; Официальное оформление в IT-аккредитованную компанию, официальная заработная плата: уровень фиксированной части дохода обсуждается по результатам собеседования в зависимости от опыта и квалификации, прозрачная система премиальной части; Интересные и масштабные задачи в быстроразвивающейся современной компании с сильной командой управленцев и руководителей проектов. ",2023-11-27 00:00:00 +0700 +07,0,Москва,Первый Бит,,1-3,Полный день
Аналитик данных,"Отдел корпоративной аналитики ГК Softline в поисках Middle аналитика данных.  Задача: аналитика финансовых показателей, сделок по ГК Softline. Мы работаем с инструментами: Confluence, Jira, Power BI, SQL, Power Query, Microsoft Office.  Вакансия актуальна для любого города в РФ, где есть наш офис. Возможность работать в гибридном или удаленном формате. Наша команда аналитиков представлена в городах: Москва, Санкт-Петербург и Воронеж.   Ключевые задачи:  Готовит аналитические отчеты, аналитические панели, проверяет и предлагает гипотезы, формирует выводы на основе аналитики; Готовит прогнозы на основе аналитических данных, работает с моделями прогнозирования; Взаимодействует с командами маркетинга, продаж, финансов и топ-менеджментом для разработки и анализа гипотез, уточнения данных, представления результатов; Развивает систему регулярной отчетности и совершенствует методологию расчета ключевых метрик эффективности процессов продаж, разрабатывает панели показателей; Развивает качество корпоративных данных, инициируя изменения в информационных системах компании и бизнес-процессах.  Наши ожидания:  Опыт работы от 3х лет на аналогичной позиции; Умение получать информацию, структурировать, делать выводы; Навыки интерпретации, визуализации и презентации данных; Умение самостоятельно детализировать и планировать задачи с нечеткой постановкой; Умение четко излагать мысли, обосновывать гипотезы; Навыки построения коммуникаций с заказчиком и внутри проектной команды; Знание Microsoft Excel + Power Query, PowerPoint, Word на уровне продвинутого пользователя; Знание, опыт работы с SQL. Будет плюсом опыт работы с другими языками, желание развиваться в данном направлении; Знание, опыт работы с любым BI инструментом; Базовый английский язык - уровень чтения; Будет плюсом: опыт работы в ИТ компании.  Мы предлагаем:  Обсуждаемые условия дохода (оклад + премии); Отличное расположение и комфортный офис. Возможность работать в гибридном или удаленном формате; Гибкое начало рабочего дня; Открытость и готовность к диалогу топ-менеджмента компании; Программа ДМС со стоматологией; Различные программы мотивации: скидки на технику, компенсация процентов по ипотеке и др.; Собственный Корпоративный университет, организация профильных конференций и тренингов за счет компании. ",2023-11-27 00:00:00 +0700 +07,0,Воронежская область,Softline,Разработка BI;Microsoft Office;Power Query;SQL;Анализ данных;Аналитическое мышление,3-6,Удаленная работа
Аналитик данных,"Отдел корпоративной аналитики ГК Softline в поисках Middle аналитика данных.  Задача: аналитика финансовых показателей, сделок по ГК Softline. Мы работаем с инструментами: Confluence, Jira, Power BI, SQL, Power Query, Microsoft Office.  Вакансия актуальна для любого города в РФ, где есть наш офис. Возможность работать в гибридном или удаленном формате. Наша команда аналитиков представлена в городах: Москва, Санкт-Петербург и Воронеж.   Ключевые задачи:  Готовит аналитические отчеты, аналитические панели, проверяет и предлагает гипотезы, формирует выводы на основе аналитики; Готовит прогнозы на основе аналитических данных, работает с моделями прогнозирования; Взаимодействует с командами маркетинга, продаж, финансов и топ-менеджментом для разработки и анализа гипотез, уточнения данных, представления результатов; Развивает систему регулярной отчетности и совершенствует методологию расчета ключевых метрик эффективности процессов продаж, разрабатывает панели показателей; Развивает качество корпоративных данных, инициируя изменения в информационных системах компании и бизнес-процессах.  Наши ожидания:  Опыт работы от 3х лет на аналогичной позиции; Умение получать информацию, структурировать, делать выводы; Навыки интерпретации, визуализации и презентации данных; Умение самостоятельно детализировать и планировать задачи с нечеткой постановкой; Умение четко излагать мысли, обосновывать гипотезы; Навыки построения коммуникаций с заказчиком и внутри проектной команды; Знание Microsoft Excel + Power Query, PowerPoint, Word на уровне продвинутого пользователя; Знание, опыт работы с SQL. Будет плюсом опыт работы с другими языками, желание развиваться в данном направлении; Знание, опыт работы с любым BI инструментом; Базовый английский язык - уровень чтения; Будет плюсом: опыт работы в ИТ компании.  Мы предлагаем:  Обсуждаемые условия дохода (оклад + премии); Отличное расположение и комфортный офис. Возможность работать в гибридном или удаленном формате; Гибкое начало рабочего дня; Открытость и готовность к диалогу топ-менеджмента компании; Программа ДМС со стоматологией; Различные программы мотивации: скидки на технику, компенсация процентов по ипотеке и др.; Собственный Корпоративный университет, организация профильных конференций и тренингов за счет компании. ",2023-11-27 00:00:00 +0700 +07,0,Москва,Softline,Разработка BI;Microsoft Office;Power Query;SQL;Анализ данных;Аналитическое мышление,3-6,Удаленная работа
Аналитик данных,"Отдел корпоративной аналитики ГК Softline в поисках Middle аналитика данных.  Задача: аналитика финансовых показателей, сделок по ГК Softline. Мы работаем с инструментами: Confluence, Jira, Power BI, SQL, Power Query, Microsoft Office.  Вакансия актуальна для любого города в РФ, где есть наш офис. Возможность работать в гибридном или удаленном формате. Наша команда аналитиков представлена в городах: Москва, Санкт-Петербург и Воронеж.   Ключевые задачи:  Готовит аналитические отчеты, аналитические панели, проверяет и предлагает гипотезы, формирует выводы на основе аналитики; Готовит прогнозы на основе аналитических данных, работает с моделями прогнозирования; Взаимодействует с командами маркетинга, продаж, финансов и топ-менеджментом для разработки и анализа гипотез, уточнения данных, представления результатов; Развивает систему регулярной отчетности и совершенствует методологию расчета ключевых метрик эффективности процессов продаж, разрабатывает панели показателей; Развивает качество корпоративных данных, инициируя изменения в информационных системах компании и бизнес-процессах.  Наши ожидания:  Опыт работы от 3х лет на аналогичной позиции; Умение получать информацию, структурировать, делать выводы; Навыки интерпретации, визуализации и презентации данных; Умение самостоятельно детализировать и планировать задачи с нечеткой постановкой; Умение четко излагать мысли, обосновывать гипотезы; Навыки построения коммуникаций с заказчиком и внутри проектной команды; Знание Microsoft Excel + Power Query, PowerPoint, Word на уровне продвинутого пользователя; Знание, опыт работы с SQL. Будет плюсом опыт работы с другими языками, желание развиваться в данном направлении; Знание, опыт работы с любым BI инструментом; Базовый английский язык - уровень чтения; Будет плюсом: опыт работы в ИТ компании.  Мы предлагаем:  Обсуждаемые условия дохода (оклад + премии); Отличное расположение и комфортный офис. Возможность работать в гибридном или удаленном формате; Гибкое начало рабочего дня; Открытость и готовность к диалогу топ-менеджмента компании; Программа ДМС со стоматологией; Различные программы мотивации: скидки на технику, компенсация процентов по ипотеке и др.; Собственный Корпоративный университет, организация профильных конференций и тренингов за счет компании. ",2023-11-27 00:00:00 +0700 +07,0,Санкт-Петербург,Softline,Разработка BI;Microsoft Office;Power Query;SQL;Анализ данных;Аналитическое мышление,3-6,Удаленная работа
Аналитик данных,"Обязанности:    Построение скоринговых карт; Создание инструментов для регулярного мониторинга и обновления моделей; Создание и поддержание функций пересчета скора в PD для использования в прогнозировании, расчете резервов, анализе портфеля; Постоянный анализ новых источников для выявления данных, позволяющих существенно улучшить качество моделей; Использование современных инструментов и создание задокументированных фрейм-ворков; Стек:Хранилища: ClickHouse, MySQLВизуализация: TableauАвтоматизация: Python (библиотеки: pandas, numpy, scikit-learn, PyTorch, Tensorflow), Airflow - как преимущество.  Требования:    Опыт построения скоринговых моделей на основе алгоритма градиентного бустинга - catboost, xgboost Опыт работы с большим объемом данных; Знание современных инструментов моделирования (Phyton- предпочтительно, R); Умение анализировать данные и искать скрытые закономерности, любовь к всестороннему анализу и проверки гипотез.  Условия:    Профессиональный менеджмент и команда, готовая вдохновлять и делиться опытом, идеями; Неограниченные возможности профессионального роста в молодом коллективе; Офис - м. Парк Победы, м. Багратионовская; Оформление по ТК РФ, полностью &quot;белая&quot; заработная плата; ДМС после испытательного срока; Оплата профильных конференций и семинаров; Корпоративное обучение английскому и испанскому языкам; Корпоративное такси; ",2023-11-27 00:00:00 +0700 +07,0,Москва,IDF Eurasia,,1-3,Полный день
Middle/Senior Machine Learning Engineer in Uzum Tezkor,"Uzum — это новая уникальная компания в Узбекистане, которая развивает экосистему цифровых сервисов для бизнеса, онлайн-шопинга, удобных платежей и других решений для жизни.Uzum Tezkor – это сервис быстрой доставки из кафе, ресторанов и магазинов в рамках экосистемы Uzum. Проект запущен совсем недавно и находится на стадии активного роста и развития. У нас очень сильная и амбициозная команда, которая ставит перед собой задачу – построить лучший Food Tech сервис в Средней Азии. Наш основной фокус – это обеспечение высокого уровня сервиса для наших конечных пользователей, за счет использование передовых технических решений, внедрения наукоемких алгоритмов и построения эффективных операционных процессов. Присоединяйся к команде, вы получаете возможность внести свой вклад в развитие нового динамичного проекта и получить ценный опыт работы в сильной Food Tech команде. Сейчас мы ищем опытного специалиста, который станет первым инженером машинного обучения в направлении операций. Данному человеку предстоит полностью лидировать со стороны Data функции всё прогнозирование/оптимизацию в области логистики и баланса спроса и предложения компании Uzum Tezkor. Обязанности:   Предсказывать число заказов и количество смен для курьеров в разрезе лог. зона (часть города) + час;   Строить модели управления балансом объема поступающих заказов и курьеров “на линии”, такие как:   изменение зон доставки;   изменение минимального чека и стоимости доставки;   surge pricing;     Предсказывать время доставки заказа на разных этапах (при заходе в приложение, при создании, после назначения курьера, после готовности заказа);   На более поздних этапах, когда будет целесообразно идти дальше бейзлайнов:   оптимизировать диспатчинг (алгоритм назначения курьеров на заказы);   оптимизировать автоматические реакции (блокировки курьеров/ресторанов);     Требования:   От 3 лет в роли ML Engineer/Data Scientist;   Опыт программирования на Python, знание основных библиотек для анализа данных и структур данных;   Продвинутый уровень владения SQL, понимание принципов DE;   Умение собрать написанный код в контейнер, базовое понимание принципов развёртывания веб-сервисов в проде;   Опыт работы с решениями ClickHouse, Airflow, S3, Trino или с их аналогами;   Условия:  Сильная техническая команда, которая всегда готова делиться опытом; Крутая продуктовая культура. Опираемся на исследования и метрики, фокусируемся на результате; Свобода действий и возможность напрямую влиять на развитие бизнеса; Гибкий график; Предпочтительный формат работы - офис в Ташкенте, но есть возможность удаленной работы (с обязательными оплачиваемыми командировками в Ташкент раз в полгода для встречи с командой); Официальное оформление по ТК УЗ; Три дополнительных оплачиваемых дня к отпуску; Мы резидент IT-парка, наши специалисты могут получить IT-визу, которая приравнивается к ВНЖ; Развитие личного бренда на конференциях, митапах и внутренних событиях. Быстрый найм и отсутствие тестовых заданий “на дом” MacBook Pro или другой ноутбук на ваш выбор   ",2024-01-03 00:00:00 +0700 +07,0,Москва,«UZUM TECHNOLOGIES».,,3-6,Полный день
Middle/Senior Machine Learning Engineer in Uzum Tezkor,"Uzum — это новая уникальная компания в Узбекистане, которая развивает экосистему цифровых сервисов для бизнеса, онлайн-шопинга, удобных платежей и других решений для жизни.Uzum Tezkor – это сервис быстрой доставки из кафе, ресторанов и магазинов в рамках экосистемы Uzum. Проект запущен совсем недавно и находится на стадии активного роста и развития. У нас очень сильная и амбициозная команда, которая ставит перед собой задачу – построить лучший Food Tech сервис в Средней Азии. Наш основной фокус – это обеспечение высокого уровня сервиса для наших конечных пользователей, за счет использование передовых технических решений, внедрения наукоемких алгоритмов и построения эффективных операционных процессов. Присоединяйся к команде, вы получаете возможность внести свой вклад в развитие нового динамичного проекта и получить ценный опыт работы в сильной Food Tech команде. Сейчас мы ищем опытного специалиста, который станет первым инженером машинного обучения в направлении операций. Данному человеку предстоит полностью лидировать со стороны Data функции всё прогнозирование/оптимизацию в области логистики и баланса спроса и предложения компании Uzum Tezkor. Обязанности:   Предсказывать число заказов и количество смен для курьеров в разрезе лог. зона (часть города) + час;   Строить модели управления балансом объема поступающих заказов и курьеров “на линии”, такие как:   изменение зон доставки;   изменение минимального чека и стоимости доставки;   surge pricing;     Предсказывать время доставки заказа на разных этапах (при заходе в приложение, при создании, после назначения курьера, после готовности заказа);   На более поздних этапах, когда будет целесообразно идти дальше бейзлайнов:   оптимизировать диспатчинг (алгоритм назначения курьеров на заказы);   оптимизировать автоматические реакции (блокировки курьеров/ресторанов);     Требования:   От 3 лет в роли ML Engineer/Data Scientist;   Опыт программирования на Python, знание основных библиотек для анализа данных и структур данных;   Продвинутый уровень владения SQL, понимание принципов DE;   Умение собрать написанный код в контейнер, базовое понимание принципов развёртывания веб-сервисов в проде;   Опыт работы с решениями ClickHouse, Airflow, S3, Trino или с их аналогами;   Условия:  Сильная техническая команда, которая всегда готова делиться опытом; Крутая продуктовая культура. Опираемся на исследования и метрики, фокусируемся на результате; Свобода действий и возможность напрямую влиять на развитие бизнеса; Гибкий график; Предпочтительный формат работы - офис в Ташкенте, но есть возможность удаленной работы (с обязательными оплачиваемыми командировками в Ташкент раз в полгода для встречи с командой); Официальное оформление по ТК УЗ; Три дополнительных оплачиваемых дня к отпуску; Мы резидент IT-парка, наши специалисты могут получить IT-визу, которая приравнивается к ВНЖ; Развитие личного бренда на конференциях, митапах и внутренних событиях. Быстрый найм и отсутствие тестовых заданий “на дом” MacBook Pro или другой ноутбук на ваш выбор   ",2024-01-03 00:00:00 +0700 +07,0,Санкт-Петербург,«UZUM TECHNOLOGIES».,,3-6,Полный день
